run_id,started_at,finished_at,phase,task,command,status,message,outputs

run-20260904T132843Z-29963bf5,2026-09-04T13:28:43+00:00,2026-09-04T13:28:43+00:00,PHASE 2,inspect_raw_data,python scripts/inspect_raw_data.py,PASSED,,/Users/wenxun/wenxuncoding/税收风险大赛/sources/manifest.csv
run-20260904T132843Z-115be272,2026-09-04T13:28:43+00:00,2026-09-04T13:28:43+00:00,PHASE 3,build_data_dictionary,python scripts/build_data_dictionary.py,PASSED,,data/dictionaries/data_dictionary.csv
run-20260904T132942Z-6828c537,2026-09-04T13:29:42+00:00,2026-09-04T13:29:42+00:00,PHASE 1,build_curated_manifest,python scripts/build_curated_manifest.py,PASSED,,sources/curated/manifest.csv
run-20260904T133136Z-e55677c9,2026-09-04T13:31:36+00:00,2026-09-04T13:31:36+00:00,PHASE 0,project_checks,uv run python scripts/run_checks.py,PASSED,,
run-20260904T133137Z-5184280f,2026-09-04T13:31:37+00:00,2026-09-04T13:31:37+00:00,PHASE 1,build_curated_manifest,python scripts/build_curated_manifest.py,PASSED,,sources/curated/manifest.csv
run-20260905T081151Z-bb0d60ae,2026-09-05T08:11:51+00:00,2026-09-05T08:12:02+00:00,PHASE 1,verify_public_disclosures,python scripts/verify_public_disclosures.py,PASSED,,docs/research/yonyou_annual_report_verification.csv
run-20260905T081202Z-44f7a940,2026-09-05T08:12:02+00:00,2026-09-05T08:12:02+00:00,PHASE 1,build_curated_manifest,python scripts/build_curated_manifest.py,PASSED,,sources/curated/manifest.csv
run-20260905T081402Z-7977e621,2026-09-05T08:14:02+00:00,2026-09-05T08:14:02+00:00,PHASE 1,extract_public_financial_fields,python scripts/extract_public_financial_fields.py,PASSED,,outputs/tables/yonyou_public_financial_fields.csv;docs/research/yonyou_public_field_availability.csv
run-20260905T081423Z-8a5573a5,2026-09-05T08:14:23+00:00,2026-09-05T08:14:23+00:00,PHASE 1,extract_public_financial_fields,python scripts/extract_public_financial_fields.py,PASSED,,outputs/tables/yonyou_public_financial_fields.csv;docs/research/yonyou_public_field_availability.csv
run-20260905T081709Z-c4c3efba,2026-09-05T08:17:09+00:00,2026-09-05T08:17:29+00:00,PHASE 1,collect_policy_candidates,python scripts/collect_policy_candidates.py,PASSED,,sources/policies/index.csv;docs/research/policy_candidate_summary.csv
run-20260905T081730Z-db771460,2026-09-05T08:17:30+00:00,2026-09-05T08:17:30+00:00,PHASE 5,audit_policies,python scripts/audit_policies.py,PASSED,,
run-20260905T081730Z-87797b0b,2026-09-05T08:17:30+00:00,2026-09-05T08:17:30+00:00,PHASE 1,build_curated_manifest,python scripts/build_curated_manifest.py,PASSED,,sources/curated/manifest.csv
run-20260905T081804Z-99df0133,2026-09-05T08:18:04+00:00,2026-09-05T08:18:04+00:00,PHASE 0,project_checks,uv run python scripts/run_checks.py,PASSED,,
run-20260905T081805Z-7da83126,2026-09-05T08:18:05+00:00,2026-09-05T08:18:19+00:00,PHASE 1,verify_public_disclosures,python scripts/verify_public_disclosures.py,PASSED,,docs/research/yonyou_annual_report_verification.csv
run-20260905T081819Z-461cf398,2026-09-05T08:18:19+00:00,2026-09-05T08:18:19+00:00,PHASE 1,extract_public_financial_fields,python scripts/extract_public_financial_fields.py,PASSED,,outputs/tables/yonyou_public_financial_fields.csv;docs/research/yonyou_public_field_availability.csv
run-20260905T081819Z-20d817ec,2026-09-05T08:18:19+00:00,2026-09-05T08:18:37+00:00,PHASE 1,collect_policy_candidates,python scripts/collect_policy_candidates.py,PASSED,,sources/policies/index.csv;docs/research/policy_candidate_summary.csv
run-20260905T081837Z-222505a3,2026-09-05T08:18:37+00:00,2026-09-05T08:18:37+00:00,PHASE 1,build_curated_manifest,python scripts/build_curated_manifest.py,PASSED,,sources/curated/manifest.csv
run-20260905T081846Z-0636a1b7,2026-09-05T08:18:46+00:00,2026-09-05T08:19:02+00:00,PHASE 1,collect_policy_candidates,python scripts/collect_policy_candidates.py,PASSED,,sources/policies/index.csv;docs/research/policy_candidate_summary.csv
run-20260905T081902Z-dbe05629,2026-09-05T08:19:02+00:00,2026-09-05T08:19:02+00:00,PHASE 1,build_curated_manifest,python scripts/build_curated_manifest.py,PASSED,,sources/curated/manifest.csv
run-20260905T082644Z-0a996239,2026-09-05T08:26:44+00:00,2026-09-05T08:26:44+00:00,PHASE 1,extract_public_financial_fields,python scripts/extract_public_financial_fields.py,PASSED,,outputs/tables/yonyou_public_financial_fields.csv;docs/research/yonyou_public_field_availability.csv
run-20260905T082644Z-2042cdf4,2026-09-05T08:26:44+00:00,2026-09-05T08:26:44+00:00,PHASE 1,screen_public_indicators,python scripts/screen_public_indicators.py,PASSED,,outputs/tables/yonyou_public_indicator_observations.csv;docs/research/yonyou_public_indicator_coverage.csv
run-20260905T082736Z-ae4fd497,2026-09-05T08:27:36+00:00,2026-09-05T08:27:47+00:00,PHASE 1,verify_public_disclosures,python scripts/verify_public_disclosures.py,PASSED,,docs/research/yonyou_annual_report_verification.csv
run-20260905T082748Z-0d7c4498,2026-09-05T08:27:48+00:00,2026-09-05T08:27:48+00:00,PHASE 1,extract_public_financial_fields,python scripts/extract_public_financial_fields.py,PASSED,,outputs/tables/yonyou_public_financial_fields.csv;docs/research/yonyou_public_field_availability.csv
run-20260905T082748Z-868fabd0,2026-09-05T08:27:48+00:00,2026-09-05T08:27:48+00:00,PHASE 1,screen_public_indicators,python scripts/screen_public_indicators.py,PASSED,,outputs/tables/yonyou_public_indicator_observations.csv;docs/research/yonyou_public_indicator_coverage.csv
run-20260905T082748Z-23f4ceb4,2026-09-05T08:27:48+00:00,2026-09-05T08:27:48+00:00,PHASE 5,audit_policies,python scripts/audit_policies.py,PASSED,,
run-20260905T082934Z-a67a08d2,2026-09-05T08:29:34+00:00,2026-09-05T08:29:34+00:00,PHASE 1,extract_public_financial_fields,python scripts/extract_public_financial_fields.py,PASSED,,outputs/tables/yonyou_public_financial_fields.csv;docs/research/yonyou_public_field_availability.csv
run-20260905T082934Z-9a084385,2026-09-05T08:29:34+00:00,2026-09-05T08:29:35+00:00,PHASE 1,screen_public_indicators,python scripts/screen_public_indicators.py,PASSED,,outputs/tables/yonyou_public_indicator_observations.csv;docs/research/yonyou_public_indicator_coverage.csv
run-20260905T083639Z-95dcee1d,2026-09-05T08:36:39+00:00,2026-09-05T08:37:00+00:00,PHASE 1,collect_policy_candidates,python scripts/collect_policy_candidates.py,PASSED,,sources/policies/index.csv;docs/research/policy_candidate_summary.csv
run-20260905T083700Z-64c33d84,2026-09-05T08:37:00+00:00,2026-09-05T08:37:00+00:00,PHASE 1,extract_public_financial_fields,python scripts/extract_public_financial_fields.py,PASSED,,outputs/tables/yonyou_public_financial_fields.csv;docs/research/yonyou_public_field_availability.csv
run-20260905T083700Z-ba2485d3,2026-09-05T08:37:00+00:00,2026-09-05T08:37:00+00:00,PHASE 1,screen_public_indicators,python scripts/screen_public_indicators.py,PASSED,,outputs/tables/yonyou_public_indicator_observations.csv;docs/research/yonyou_public_indicator_coverage.csv
run-20260905T084041Z-77705700,2026-09-05T08:40:41+00:00,2026-09-05T08:40:42+00:00,PHASE 1,build_submission_document,python scripts/build_submission_document.py,PASSED,,outputs/submission/甲软件和信息技术服务企业税收风险管控案例.docx;outputs/submission/甲软件和信息技术服务企业税收风险管控案例.pdf
run-20260905T084237Z-a06c02ea,2026-09-05T08:42:37+00:00,2026-09-05T08:42:38+00:00,PHASE 1,build_submission_document,python scripts/build_submission_document.py,PASSED,,outputs/submission/甲软件和信息技术服务企业税收风险管控案例.docx;outputs/submission/甲软件和信息技术服务企业税收风险管控案例.pdf
run-20260905T084406Z-6c058193,2026-09-05T08:44:06+00:00,2026-09-05T08:44:07+00:00,PHASE 1,build_submission_document,python scripts/build_submission_document.py,PASSED,,outputs/submission/甲软件和信息技术服务企业税收风险管控案例.docx;outputs/submission/甲软件和信息技术服务企业税收风险管控案例.pdf
run-20260905T084423Z-6faf3542,2026-09-05T08:44:23+00:00,2026-09-05T08:44:23+00:00,PHASE 1,build_submission_document,python scripts/build_submission_document.py,PASSED,,outputs/submission/甲软件和信息技术服务企业税收风险管控案例.docx;outputs/submission/甲软件和信息技术服务企业税收风险管控案例.pdf
run-20260905T084512Z-9a375d34,2026-09-05T08:45:12+00:00,2026-09-05T08:45:13+00:00,PHASE 1,build_submission_document,python scripts/build_submission_document.py,PASSED,,outputs/submission/甲软件和信息技术服务企业税收风险管控案例.docx;outputs/submission/甲软件和信息技术服务企业税收风险管控案例.pdf
run-20260905T085950Z-0dec2fb9,2026-09-05T08:59:50+00:00,2026-09-05T08:59:51+00:00,PHASE 1,build_submission_document,python scripts/build_submission_document.py,PASSED,,outputs/submission/甲软件和信息技术服务企业税收风险管控案例.docx;outputs/submission/甲软件和信息技术服务企业税收风险管控案例.pdf
run-20260905T090109Z-e060d89f,2026-09-05T09:01:09+00:00,2026-09-05T09:01:09+00:00,PHASE 1,build_submission_document,python scripts/build_submission_document.py,PASSED,,outputs/submission/甲软件和信息技术服务企业税收风险管控案例.docx;outputs/submission/甲软件和信息技术服务企业税收风险管控案例.pdf
